year,level,code,name,canton,originCount,totalWeight,baseline_total_min,step3_total_min,delta_total_min,delta_total_sec,delta_total_pax_min_day,baseline_rolling_min,step3_rolling_min,delta_rolling_min,delta_rolling_sec,delta_rolling_pax_min_day,baseline_dwell_min,step3_dwell_min,delta_dwell_min,delta_dwell_sec,delta_dwell_pax_min_day,baseline_transfer_min,step3_transfer_min,delta_transfer_min,delta_transfer_sec,delta_transfer_pax_min_day,baseline_waiting_min,step3_waiting_min,delta_waiting_min,delta_waiting_sec,delta_waiting_pax_min_day
2035,station,Corbier,Corbier,VS,1,304.00102,28.722164,28.654199,-0.06796500000000094,-4.0779000000000565,-20.661429324300286,22.214687,22.189771,-0.02491600000000105,-1.494960000000063,-7.574489414320318,2.968818,2.918859,-0.04995900000000031,-2.9975400000000185,-15.187586958180093,3.53866,3.545568,0.006907999999999692,0.41447999999998153,2.1000390461599063,15.82225,15.822251,9.999999992515995e-07,5.999999995509597e-05,0.0003040010197724855
2035,station,Corcelles BE,Corcelles BE,BE,1,24.496435,39.077315,39.07823,0.000914999999999111,0.05489999999994666,0.022414238024978224,30.656438,30.648288,-0.008150000000000546,-0.48900000000003274,-0.1996459452500134,3.798851,3.794554,-0.004296999999999773,-0.2578199999999864,-0.10526118119499445,4.622026,4.635388,0.013361999999999874,0.8017199999999924,0.32732136446999693,27.962072,27.962072,0.0,0.0,0.0
2035,station,Corcelles-Nord,Corcelles-Nord,VD,1,104.58454,27.135605,27.135654,4.899999999707916e-05,0.0029399999998247495,0.005124642459694525,21.36211,21.363129,0.001018999999999437,0.06113999999996622,0.10657164625994113,3.49855,3.498251,-0.00029899999999960514,-0.017939999999976308,-0.0312707774599587,2.274945,2.274274,-0.0006710000000000882,-0.04026000000000529,-0.07017622634000922,28.337903,28.337903,0.0,0.0,0.0
2035,station,Corcelles-Sud,Corcelles-Sud,VD,1,281.501117,25.147188,25.146934,-0.0002539999999982001,-0.015239999999892007,-0.07150128371749334,21.405538,21.418326,0.012788000000000466,0.7672800000000279,3.5998362841961313,1.916526,1.91708,0.0005539999999999434,0.033239999999996606,0.15595161881798408,1.825125,1.811527,-0.013597999999999999,-0.8158799999999999,-3.827852188966,15.262422,15.262422,0.0,0.0,0.0
2035,station,Corgémont,Corgémont,BE,1,208.651556,30.750421,30.745966,-0.004455000000000098,-0.26730000000000587,-0.9295426819800204,25.140629,25.141543,0.000913999999998083,0.05483999999988498,0.19070752218360001,2.948418,2.948602,0.00018399999999996197,0.011039999999997718,0.03839188630399207,2.661375,2.655821,-0.005554000000000059,-0.33324000000000353,-1.1588507420240124,28.616542,28.61655,8.000000001118224e-06,0.0004800000000670934,0.0016692124482333192
2035,station,Cormoret,Cormoret,BE,1,36.256822,28.903738,28.90057,-0.00316800000000228,-0.1900800000001368,-0.11486161209608267,23.769738,23.770442,0.0007039999999989277,0.04223999999993566,0.02552480268796112,3.16475,3.164871,0.00012100000000003774,0.007260000000002265,0.004387075462001368,1.96925,1.965257,-0.003992999999999913,-0.2395799999999948,-0.14477349024599687,28.959767,28.959774,7.000000000090267e-06,0.00042000000000541604,0.0002537977540032728
2035,station,Cornaux NE,Cornaux NE,NE,1,270.516459,23.75357,23.750191,-0.0033789999999989107,-0.20273999999993464,-0.9140751149607053,18.583721,18.584157,0.00043600000000054706,0.026160000000032824,0.11794517612414798,2.002733,2.002605,-0.000128000000000128,-0.007680000000007681,-0.034626106752034626,3.167117,3.163429,-0.0036880000000003577,-0.22128000000002146,-0.9976647007920968,14.631184,14.631185,1.0000000010279564e-06,6.000000006167738e-05,0.0002705164592780791
2035,station,Cortébert,Cortébert,BE,1,78.175007,30.237967,30.234116,-0.003851000000000937,-0.23106000000005622,-0.30105195195707324,24.584503,24.585293,0.0007899999999985141,0.04739999999991085,0.061758255529883836,3.333893,3.334051,0.00015799999999988046,0.009479999999992827,0.012351651105990654,2.319571,2.314771,-0.0047999999999999154,-0.2879999999999949,-0.37524003359999336,28.742763,28.74277,7.000000000090267e-06,0.00042000000000541604,0.0005472250490070566
2035,station,Cossonay-Penthalaz,Cossonay-Penthalaz,VD,1,2110.656065,18.97147,18.968067,-0.0034029999999987126,-0.20417999999992276,-7.182562589192283,16.02677,16.026157,-0.0006129999999977542,-0.036779999999865254,-1.29383216784026,1.637647,1.63472,-0.002927000000000124,-0.17562000000000744,-6.177890302255262,1.307053,1.30719,0.00013700000000005375,0.008220000000003225,0.28915988090511346,9.428006,9.427025,-0.0009809999999994545,-0.05885999999996727,-2.0705535997638487
2035,station,Cottens FR,Cottens FR,FR,1,358.259657,28.073304,27.878641,-0.19466300000000203,-11.679780000000122,-69.73989961059172,22.681544,22.664647,-0.016897000000000162,-1.0138200000000097,-6.053513424329058,2.348236,2.344685,-0.00355099999999986,-0.2130599999999916,-1.2721800420069498,3.043525,2.869309,-0.17421599999999993,-10.452959999999996,-62.414564403911974,15.691737,15.684581,-0.007156000000000162,-0.42936000000000973,-2.563706105492058
2035,station,Courchavon,Courchavon,JU,1,23.358689,16.867147,16.866879,-0.00026799999999838064,-0.01607999999990284,-0.006260128651962174,14.207046,14.207129,8.300000000005525e-05,0.004980000000003315,0.0019387711870012905,1.826127,1.826144,1.6999999999933735e-05,0.001019999999996024,0.0003970977129984521,0.833974,0.833605,-0.0003689999999999527,-0.022139999999997162,-0.008619356240998894,29.278527,29.278527,0.0,0.0,0.0
2035,station,Courfaivre,Courfaivre,JU,1,226.271391,23.804902,23.803119,-0.001782999999999646,-0.10697999999997876,-0.40344189015291987,19.712734,19.713019,0.00028499999999809233,0.01709999999988554,0.06448734643456835,1.456964,1.456896,-6.799999999995698e-05,-0.004079999999997419,-0.015386454587990267,2.635204,2.633205,-0.001999000000000084,-0.11994000000000504,-0.452316510609019,15.184845,15.184846,1.0000000010279564e-06,6.000000006167738e-05,0.0002262713912325971
2035,station,Courgenay,Courgenay,JU,1,366.590287,20.325677,20.324723,-0.0009540000000001214,-0.057240000000007285,-0.3497271337980445,17.577521,17.577162,-0.0003589999999995541,-0.021539999999973247,-0.13160591303283653,1.307933,1.308221,0.000288000000000066,0.01728000000000396,0.10557800265602418,1.440224,1.43934,-0.0008839999999998849,-0.05303999999999309,-0.3240658137079578,15.38801,15.38801,0.0,0.0,0.0
2035,station,Court,Court,BE,1,102.102066,34.768919,34.765005,-0.003913999999994644,-0.23483999999967864,-0.39962748632345313,27.33831,27.338828,0.0005179999999995744,0.03107999999997446,0.05288887018795654,3.086429,3.086405,-2.3999999999801958e-05,-0.0014399999999881175,-0.0024504495839797794,4.34418,4.339773,-0.004406999999999606,-0.26441999999997634,-0.4499638048619597,28.932843,28.932845,2.0000000020559128e-06,0.00012000000012335477,0.00020420413220991292
2035,station,Courtelary,Courtelary,BE,1,209.236598,30.216942,30.209689,-0.007252999999998622,-0.4351799999999173,-1.5175930452937114,25.165455,25.166653,0.0011979999999987,0.071879999999922,0.250665444403728,2.347286,2.347295,8.999999999925734e-06,0.000539999999995544,0.0018831293819844607,2.704201,2.695741,-0.008459999999999912,-0.5075999999999947,-1.7701416190799815,19.268699,19.268686,-1.3000000002705292e-05,-0.0007800000001623175,-0.002720075774566046
2035,station,Courtemaîche,Courtemaîche,JU,1,56.740449,19.975523,19.975238,-0.00028499999999809233,-0.01709999999988554,-0.016171027964891758,16.913965,16.914053,8.79999999980896e-05,0.005279999999885376,0.004993159511891603,2.179615,2.179634,1.8999999999991246e-05,0.0011399999999994748,0.0010780685309995032,0.881943,0.881551,-0.00039200000000005897,-0.023520000000003538,-0.022242256008003346,29.216997,29.216997,0.0,0.0,0.0
2035,station,Courtepin,Courtepin,FR,1,181.600872,35.723968,35.553164,-0.17080399999999685,-10.24823999999981,-31.01815534108743,27.111574,27.870411,0.7588369999999998,45.530219999999986,137.80546090586395,1.908233,2.009259,0.10102600000000006,6.061560000000004,18.346409694672012,6.704161,5.673494,-1.0306670000000002,-61.84002000000001,-187.17002594162406,14.931436,14.92721,-0.004225999999999175,-0.2535599999999505,-0.7674452850718502
2035,station,Courtételle,Courtételle,JU,1,421.332817,23.500656,23.498681,-0.0019749999999980616,-0.1184999999998837,-0.8321323135741833,19.223434,19.22375,0.00031599999999798456,0.018959999999879074,0.13314117017115082,1.391649,1.391576,-7.299999999998974e-05,-0.004379999999999384,-0.030757295640995674,2.885573,2.883355,-0.0022180000000000533,-0.1330800000000032,-0.9345161881060224,15.17625,15.17625,0.0,0.0,0.0
2035,station,Cousset,Cousset,FR,1,217.350807,27.142384,27.142188,-0.00019599999999897477,-0.011759999999938486,-0.042600758171777164,22.785569,22.804617,0.019048000000001508,1.1428800000000905,4.140098171736327,2.353676,2.35494,0.0012639999999999318,0.07583999999999591,0.2747314200479852,2.003139,1.982631,-0.02050799999999997,-1.2304799999999982,-4.4574303499559935,15.037548,15.037548,0.0,0.0,0.0
2035,station,Couvet,Couvet,NE,1,70.691243,22.270944,22.268469,-0.002475000000000449,-0.14850000000002694,-0.17496082642503175,17.824764,17.827441,0.002677000000002039,0.16062000000012233,0.18924045751114413,2.436061,2.436898,0.0008369999999997546,0.050219999999985276,0.05916857039098265,2.01012,2.00413,-0.005990000000000162,-0.3594000000000097,-0.42344054557001143,14.850488,14.850489,9.999999992515995e-07,5.999999995509597e-05,7.069124294709464e-05
2035,station,Cressier FR,Cressier FR,FR,1,237.876954,36.519799,36.300827,-0.21897200000000083,-13.13832000000005,-52.0883923712882,28.545209,28.96356,0.41835100000000125,25.101060000000075,99.5160615828543,1.917497,1.974024,0.056526999999999994,3.3916199999999996,13.446470578758,6.057094,5.363244,-0.6938500000000003,-41.631000000000014,-165.05092453290007,15.123893,15.120858,-0.003035000000000565,-0.1821000000000339,-0.7219565553901345
2035,station,Cressier NE,Cressier NE,NE,1,216.0841,22.97758,22.97411,-0.003470000000000084,-0.20820000000000505,-0.7498118270000182,18.034401,18.034862,0.000461000000001377,0.02766000000008262,0.09961477010029754,1.973874,1.973764,-0.00010999999999983245,-0.006599999999989947,-0.023769250999963798,2.969304,2.965484,-0.0038200000000001566,-0.2292000000000094,-0.8254412620000339,14.550852,14.550853,9.999999992515995e-07,5.999999995509597e-05,0.00021608409983828257
2035,station,Creux-de-Genthod,Creux-de-Genthod,GE,1,344.48353,20.602146,20.599485,-0.0026609999999998024,-0.15965999999998814,-0.9166706733299319,16.291303,16.290266,-0.0010370000000001767,-0.0622200000000106,-0.35722942061006085,3.029007,3.026957,-0.0020500000000001073,-0.12300000000000644,-0.7061912365000369,1.281836,1.282262,0.00042600000000003746,0.025560000000002248,0.1467499837800129,7.747126,7.747211,8.500000000033481e-05,0.0051000000000200885,0.029281100050115333
2035,station,Croix-du-Nant,Croix-du-Nant,VS,1,60.262645,19.425198,19.387959,-0.03723900000000313,-2.234340000000188,-2.2441206371551887,14.634747,14.618252,-0.016495000000000815,-0.9897000000000489,-0.994032329275049,1.825479,1.799679,-0.025800000000000045,-1.5480000000000027,-1.5547762410000028,2.964972,2.970028,0.0050560000000001715,0.3033600000000103,0.3046879331200103,28.823911,28.823912,1.0000000010279564e-06,6.000000006167738e-05,6.026264506194737e-05
