category,rank,year,origin,destination,daily_pax,baseline_total_min,step3_total_min,saved_total_min,saved_total_sec,saved_pax_min_day,baseline_rolling_min,step3_rolling_min,baseline_dwell_min,step3_dwell_min,baseline_transfer_min,step3_transfer_min,baseline_waiting_min,step3_waiting_min,waiting_delta_min,baseline_rolling_share,step3_rolling_share,delta_rolling_share,origin_row_idx,destination_idx
largest_passenger_minute_deteriorations,1,2026,Zürich Flughafen,Winterthur,2018.7490126800003,14.778666666666663,14.981333333333332,-0.20266666666666922,-12.160000000000153,-409.1331332364852,14.353996101364519,14.468959064327484,0.42467056530214414,0.5123742690058477,0.0,0.0,5.6004,5.532844444444446,-0.06755555555555404,0.9712646225210567,0.9657991543472423,-0.005465468173814436,1571,1511
largest_passenger_minute_deteriorations,2,2026,Morges,Lausanne,2829.83978016,13.555950266429841,13.69094138543517,-0.13499111900532945,-8.099467140319767,-382.0032385295939,12.868561278863234,12.96980461811723,0.6873889875666074,0.7211367673179395,0.0,0.0,5.9011989342806395,6.137433392539965,0.2362344582593252,0.9492924528301887,0.9473274519979242,-0.001965000832264474,908,725
largest_passenger_minute_deteriorations,3,2026,Zürich HB,Zürich Flughafen,9137.129818839998,10.2664298401421,10.300177619893432,-0.03374777975133192,-2.024866785079915,-308.3578446855396,9.694152206585603,9.694152206585603,0.572277633556497,0.6060254133078291,0.0,0.0,4.286145648312611,4.286145648312611,0.0,0.9442573862124034,0.9411635958454375,-0.0030937903669658873,1574,1571
largest_passenger_minute_deteriorations,4,2026,Genève-Aéroport,Nyon,407.72105161,25.108597285067876,25.760180995475118,-0.6515837104072411,-39.09502262443446,-265.66439561918605,21.026244343891406,21.026244343891406,1.9701357466063352,2.6217194570135747,2.112217194570136,2.112217194570136,8.131447963800905,8.131447963800905,0.0,0.8374121463326726,0.8162304584577551,-0.021181687874917476,457,983
largest_passenger_minute_deteriorations,5,2026,Schwerzenbach ZH,Zürich Flughafen,234.64511738,17.97482014388489,19.0,-1.025179856115109,-61.510791366906545,-240.55344767374126,14.17562200239808,14.184581746367611,1.3117880695443647,1.7902383975172804,2.4874100719424463,3.0251798561151078,14.657553956834533,14.657553956834533,0.0,0.7886377659929291,0.746556934019348,-0.042080831973581145,1206,1571
largest_passenger_minute_deteriorations,6,2026,Kloten,Effretikon,74.86008567,9.0,12.0,-3.0,-180.0,-224.58025701000003,8.666666666666666,9.0,0.33333333333333326,3.0,0.0,0.0,14.69170403587444,14.69170403587444,0.0,0.9629629629629629,0.75,-0.2129629629629629,633,357
largest_passenger_minute_deteriorations,7,2026,Zürich Flughafen,Wil SG,185.04136244,32.91387126019946,34.0,-1.086128739800543,-65.16772438803258,-200.97874179793274,30.913871260199453,30.980926430517712,2.0,3.019073569482289,0.0,0.0,14.959247506799638,14.881062670299729,-0.0781848364999096,0.9392353459673864,0.9112037185446386,-0.028031627422747896,1571,1501
largest_passenger_minute_deteriorations,8,2026,Dübendorf,Zürich Flughafen,191.29733988000004,14.977578475336315,15.999999999999993,-1.0224215246636774,-61.345291479820645,-195.58651790421533,11.488789237668156,11.488789237668156,1.0,1.488789237668161,2.4887892376681604,3.0224215246636765,14.691704035874437,14.691704035874437,0.0,0.7670658682634731,0.7180493273542601,-0.049016540909213036,350,1571
largest_passenger_minute_deteriorations,9,2026,Vevey,Lausanne,3821.79509072,16.502222222222223,16.552888888888887,-0.05066666666666464,-3.0399999999998784,-193.6376179298056,16.099555555555558,16.127703703703702,0.4026666666666667,0.42518518518518517,0.0,0.0,5.529155555555556,5.377155555555556,-0.15199999999999925,0.9755992458928091,0.9743135359610496,-0.0012857099317594711,1444,725
largest_passenger_minute_deteriorations,10,2026,Lausanne,Yverdon-les-Bains,1634.2785273900001,27.49632352941176,27.59558823529412,-0.09926470588235858,-5.955882352941515,-162.22617735122247,26.102841812400634,26.19988738738739,1.3934817170111284,1.39570084790673,0.0,0.0,11.263051470588234,10.933409926470587,-0.32964154411764746,0.9493211623175523,0.9494230441472647,0.00010188182971249127,725,1534
