code,name,canton,fromValue,fromWeight,toValue,toWeight,deltaMin,deltaLabel,window,fromYear,toYear,level,metric,weightMode
OW-1403,Giswil,OW,11.308538461538463,130.0,9.323538461538462,130.0,-1.9850000000000012,-1 min 59 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
OW-1405,Lungern,OW,16.986615384615384,130.0,12.600538461538461,130.0,-4.3860769230769225,-4 min 23 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
OW-1407,Sarnen,OW,8.317923076923076,130.0,5.852846153846154,130.0,-2.4650769230769223,-2 min 28 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3203,St. Gallen,SG,13.426461538461538,130.0,12.885846153846153,130.0,-0.5406153846153856,-32 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3215,Rorschach,SG,16.494076923076925,130.0,10.214999999999998,130.0,-6.279076923076927,-6 min 17 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3231,Au (SG),SG,7.98,130.0,8.609769230769231,130.0,0.6297692307692309,+38 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3236,St. Margrethen,SG,8.537153846153846,130.0,9.831923076923077,130.0,1.2947692307692318,+1 min 18 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3251,Altstätten,SG,8.11376923076923,130.0,7.426384615384615,130.0,-0.6873846153846159,-41 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3271,Buchs (SG),SG,5.5856153846153855,130.0,4.79476923076923,130.0,-0.7908461538461555,-47 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3291,Bad Ragaz,SG,9.653538461538462,130.0,10.509846153846153,130.0,0.8563076923076913,+51 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3296,Sargans,SG,5.867538461538461,130.0,6.438769230769231,130.0,0.5712307692307697,+34 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3315,Schänis,SG,7.725999999999999,130.0,8.246,130.0,0.5200000000000014,+31 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3339,Uznach,SG,7.416461538461539,130.0,6.200076923076923,130.0,-1.2163846153846167,-1 min 13 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3340,Rapperswil-Jona,SG,4.737461538461537,130.0,4.527307692307692,130.0,-0.2101538461538457,-13 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
SG-3379,Wattwil,SG,8.892999999999999,130.0,7.805076923076923,130.0,-1.0879230769230759,-1 min 5 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
