level,weightMode,year,yearNum,code,name,canton,originCount,odCellCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitMin,avgTotalPlusWaitMin,rollingPct,dwellPct,transferPct,rollingPassengerMinDay,dwellPassengerMinDay,transferPassengerMinDay,waitPassengerMinDay
municipality,unweighted,2002,2002.0,SG-3443,Gossau (SG),SG,1,130,130.0,148.69715384615384,121.68753846153847,14.598461538461539,12.411153846153844,23.800076923076922,172.49723076923075,81.83582221583053,9.817579665018679,8.346598119150798,,,,
municipality,unweighted,2005,2005.0,SG-3443,Gossau (SG),SG,1,130,130.0,141.03823076923078,116.77284615384616,12.666923076923077,11.598461538461539,22.462384615384615,163.5006153846154,82.7951722855287,8.981198223940371,8.223629490530936,,,,
municipality,unweighted,2008,2008.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.86961538461537,115.26392307692308,12.124461538461539,11.481230769230768,22.02607692307692,160.8956923076923,83.00154267561437,8.730823877405758,8.267633446979872,,,,
municipality,unweighted,2009,2009.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.4473846153846,114.31530769230768,12.029692307692306,12.102384615384615,22.43,160.8773846153846,82.56949599292372,8.688999319930481,8.741504687145797,,,,
municipality,unweighted,2011,2011.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.28815384615385,113.971,12.026538461538461,12.290615384615386,22.21184615384615,160.5,82.4155915240529,8.696723563840498,8.887684912106605,,,,
municipality,unweighted,2012,2012.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.3509230769231,113.9673076923077,12.206923076923077,12.176692307692306,21.993692307692307,160.3446153846154,82.37553111874931,8.823159835468557,8.801309045782128,,,,
municipality,unweighted,2013,2013.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.62815384615385,114.04769230769232,11.950923076923077,12.62953846153846,21.884615384615383,160.51276923076924,82.2687810112942,8.620848467899183,9.110370520806628,,,,
municipality,unweighted,2014 Q1/2,2014.0,SG-3443,Gossau (SG),SG,1,130,130.0,137.2782307692308,112.8356153846154,11.784538461538464,12.658076923076921,21.820846153846155,159.09907692307695,82.19483508226135,8.584418953758705,9.220745963979944,,,,
municipality,unweighted,2014 Q3/4,2014.5,SG-3443,Gossau (SG),SG,1,130,130.0,137.37223076923078,113.04523076923078,11.796,12.531,21.64430769230769,159.01653846153846,82.29118078393405,8.586888291721705,9.121930924344245,,,,
municipality,unweighted,2015,2015.0,SG-3443,Gossau (SG),SG,1,130,130.0,137.32615384615386,113.13323076923076,11.808461538461538,12.384461538461538,21.737923076923074,159.06407692307693,82.38287289103985,8.598843852927336,9.018283256032802,,,,
municipality,unweighted,2016,2016.0,SG-3443,Gossau (SG),SG,1,130,130.0,139.745,114.91976923076923,12.29446153846154,12.53076923076923,20.494307692307693,160.2393076923077,82.23533523973612,8.797782774669248,8.966881985594641,,,,
municipality,unweighted,2017,2017.0,SG-3443,Gossau (SG),SG,1,130,130.0,138.8996923076923,114.03961538461539,12.114846153846152,12.745230769230771,20.55576923076923,159.45546153846152,82.10213679379032,8.722010792514354,9.17585241369533,,,,
municipality,unweighted,2018,2018.0,SG-3443,Gossau (SG),SG,1,130,130.0,139.25661538461537,114.07430769230768,12.137615384615383,13.044692307692307,20.584692307692308,159.84130769230768,81.91661658388277,8.716006310430771,9.367377105686458,,,,
municipality,unweighted,2019,2019.0,SG-3443,Gossau (SG),SG,1,130,130.0,142.81876923076925,114.80715384615385,12.42176923076923,15.589846153846155,21.332153846153847,164.1509230769231,80.38660076999145,8.697574763928893,10.915824466079657,,,,
municipality,unweighted,2020,2020.0,SG-3443,Gossau (SG),SG,1,130,130.0,143.48253846153847,116.17684615384617,11.966076923076924,15.339615384615385,21.216615384615384,164.69915384615385,80.96932727809816,8.339744369858996,10.690928352042837,,,,
municipality,unweighted,2021,2021.0,SG-3443,Gossau (SG),SG,1,130,130.0,142.95730769230767,117.15807692307692,9.284230769230767,16.514999999999997,21.005384615384614,163.9626923076923,81.95319205034318,6.494407959342353,11.552399990314484,,,,
